well,electrode,mean_spikes,median_spikes,std_spikes,min_spikes,max_spikes,total_spikes,frac_nonzero,n_measurements
24,8,2.4146341463414633,2.0,1.820956727310253,0.0,7.0,99,0.8780487804878049,41
24,9,2.4390243902439024,2.0,1.9133520641419697,0.0,8.0,100,0.8292682926829268,41
24,10,77.48780487804878,2.0,282.16887539472333,0.0,1684.0,3177,0.8536585365853658,41
24,11,14.512195121951219,3.0,48.58641883470564,0.0,286.0,595,0.9024390243902439,41
24,12,2.292682926829268,2.0,1.3835955710910082,0.0,5.0,94,0.9024390243902439,41
24,13,2.5853658536585367,3.0,1.7104500870523647,0.0,7.0,106,0.9024390243902439,41
24,14,2.097560975609756,2.0,1.2455751546149956,0.0,5.0,86,0.8780487804878049,41
24,15,17.24390243902439,3.0,52.89141222552101,0.0,320.0,707,0.9024390243902439,41
24,16,8.878048780487806,2.0,15.771532121548468,0.0,55.0,364,0.9024390243902439,41
25,1,2.5609756097560976,2.0,2.7766340430746745,0.0,17.0,105,0.8780487804878049,41
25,2,3.048780487804878,2.0,5.405287472385855,0.0,36.0,125,0.8536585365853658,41
25,3,2.097560975609756,2.0,1.7779801920592777,0.0,9.0,86,0.8536585365853658,41
25,4,3.4390243902439024,2.0,6.637104792286721,0.0,44.0,141,0.9024390243902439,41
25,5,4.219512195121951,2.0,7.604594872620142,0.0,42.0,173,0.8048780487804879,41
25,6,19.097560975609756,3.0,70.23091004506831,0.0,445.0,783,0.8780487804878049,41
25,7,2.4146341463414633,2.0,1.847550913600549,0.0,9.0,99,0.8780487804878049,41
25,8,2.341463414634146,2.0,1.8025693870148172,0.0,7.0,96,0.8048780487804879,41
25,9,9.78048780487805,2.0,48.440817396137625,0.0,316.0,401,0.8536585365853658,41
25,10,879.829268292683,118.0,984.1584718326375,0.0,2542.0,36073,0.9512195121951219,41
25,11,7.853658536585366,3.0,19.34357014946582,0.0,111.0,322,0.8536585365853658,41
25,12,5.2926829268292686,3.0,10.643316699360177,0.0,65.0,217,0.9512195121951219,41
25,13,14.195121951219512,2.0,72.09587773209185,0.0,470.0,582,0.926829268292683,41
25,14,2.2195121951219514,2.0,2.0896048771320874,0.0,12.0,91,0.8780487804878049,41
25,15,4.536585365853658,2.0,11.963557593437379,0.0,79.0,186,0.9512195121951219,41
25,16,6.682926829268292,3.0,13.536651285271267,0.0,71.0,274,0.926829268292683,41
