well,electrode,mean_spikes,median_spikes,std_spikes,min_spikes,max_spikes,total_spikes,frac_nonzero,n_measurements
11,6,1.1666666666666667,1.0,1.2133516482134197,0.0,3.0,7,0.5,6
11,7,1.3333333333333333,1.0,0.9428090415820634,0.0,3.0,8,0.8333333333333334,6
11,8,1.6666666666666667,1.5,1.247219128924647,0.0,4.0,10,0.8333333333333334,6
11,9,1.3333333333333333,1.5,0.7453559924999299,0.0,2.0,8,0.8333333333333334,6
11,10,1.5,1.5,0.9574271077563381,0.0,3.0,9,0.8333333333333334,6
11,11,1.1666666666666667,1.5,0.8975274678557508,0.0,2.0,7,0.6666666666666666,6
11,12,1.5,1.5,0.5,1.0,2.0,9,1.0,6
11,13,1.3333333333333333,1.0,0.4714045207910317,1.0,2.0,8,1.0,6
11,14,2.0,1.5,1.1547005383792515,1.0,4.0,12,1.0,6
11,15,1.8333333333333333,1.0,1.462494064565354,1.0,5.0,11,1.0,6
11,16,1.8333333333333333,1.5,1.7716909687891083,0.0,5.0,11,0.6666666666666666,6
12,1,1.5,1.5,0.5,1.0,2.0,9,1.0,6
12,2,1.1666666666666667,1.0,0.8975274678557507,0.0,3.0,7,0.8333333333333334,6
12,3,1.3333333333333333,1.0,0.9428090415820634,0.0,3.0,8,0.8333333333333334,6
12,4,2.0,1.5,1.1547005383792515,1.0,4.0,12,1.0,6
12,5,1.8333333333333333,2.0,0.6871842709362769,1.0,3.0,11,1.0,6
12,6,2.3333333333333335,2.0,1.8856180831641267,0.0,6.0,14,0.8333333333333334,6
12,7,1.1666666666666667,1.0,0.6871842709362768,0.0,2.0,7,0.8333333333333334,6
12,8,0.8333333333333334,1.0,0.37267799624996495,0.0,1.0,5,0.8333333333333334,6
12,9,1.6666666666666667,2.0,0.9428090415820634,0.0,3.0,10,0.8333333333333334,6
12,10,0.5,0.5,0.5,0.0,1.0,3,0.5,6
12,11,1.1666666666666667,1.0,0.6871842709362768,0.0,2.0,7,0.8333333333333334,6
12,12,1.8333333333333333,2.0,1.0671873729054748,0.0,3.0,11,0.8333333333333334,6
12,13,1.0,1.0,0.816496580927726,0.0,2.0,6,0.6666666666666666,6
12,14,1.0,1.0,1.0,0.0,2.0,6,0.5,6
12,15,1.1666666666666667,1.0,1.0671873729054748,0.0,3.0,7,0.6666666666666666,6
12,16,1.5,1.0,1.6072751268321592,0.0,4.0,9,0.5,6
13,1,3.3333333333333335,0.5,6.1553951042064625,0.0,17.0,20,0.5,6
13,2,2.6666666666666665,1.5,2.0548046676563256,1.0,6.0,16,1.0,6
13,3,0.6666666666666666,0.0,0.9428090415820634,0.0,2.0,4,0.3333333333333333,6
13,4,1.3333333333333333,1.0,1.3743685418725538,0.0,3.0,8,0.5,6
13,5,1.5,1.5,1.3844373104863459,0.0,4.0,9,0.6666666666666666,6
13,6,1.3333333333333333,1.0,1.699673171197595,0.0,5.0,8,0.6666666666666666,6
13,7,3.3333333333333335,2.0,4.384315479321968,0.0,13.0,20,0.8333333333333334,6
13,8,1.8333333333333333,2.0,0.6871842709362768,1.0,3.0,11,1.0,6
