id,date,well,Spikes_total,Bursts_total
11,2025-02-11,13,42.6875,0.375
11,2025-02-11,14,208.9375,15.3125
11,2025-02-11,15,36.5,0.9375
11,2025-02-11,16,2.9375,0.0
11,2025-02-11,17,4.1875,0.0
11,2025-02-11,18,68.8125,1.625
11,2025-02-11,19,8.4375,0.0
11,2025-02-11,20,28.0625,0.4375
11,2025-02-11,21,86.75,3.6875
11,2025-02-11,22,10.125,0.0
11,2025-02-11,23,101.625,3.4375
11,2025-02-11,24,12.5,0.0
11,2025-02-11,25,2.3125,0.0
11,2025-02-11,26,7.0,0.0625
11,2025-02-11,27,2.5625,0.0
11,2025-02-11,28,3.0,0.0
11,2025-02-11,29,38.0625,0.5625
11,2025-02-11,30,29.9375,0.0
11,2025-02-11,31,162.625,6.375
11,2025-02-11,32,9.0,0.0625
11,2025-02-11,33,2.4375,0.0
11,2025-02-11,34,17.25,1.25
11,2025-02-11,35,83.375,3.125
11,2025-02-11,36,22.8125,0.5
11,2025-02-11,37,140.375,4.75
11,2025-02-11,38,42.4375,0.125
11,2025-02-11,39,154.0,7.9375
11,2025-02-11,40,18.125,0.0
11,2025-02-11,41,3.8125,0.0
11,2025-02-11,42,42.875,1.5
11,2025-02-11,43,14.125,0.125
11,2025-02-11,44,77.0625,3.1875
11,2025-02-11,45,81.75,6.5625
11,2025-02-11,46,97.4375,0.1875
11,2025-02-11,47,13.1875,0.75
11,2025-02-11,48,37.5625,1.1875
12,2025-02-12,1,6.125,0.0625
12,2025-02-12,2,2.625,0.0
12,2025-02-12,3,10.4375,0.0
12,2025-02-12,4,5.125,0.1875
12,2025-02-12,5,22.3125,2.1875
12,2025-02-12,6,24.6875,0.0
12,2025-02-12,7,30.0625,1.0625
12,2025-02-12,8,27.3125,0.0
12,2025-02-12,9,2.25,0.0
12,2025-02-12,10,3.6875,0.0
12,2025-02-12,11,2.5625,0.0
12,2025-02-12,12,16.625,0.9375
12,2025-02-12,13,21.25,0.0625
12,2025-02-12,14,105.625,0.8125
