well,electrode,n_measurements,spikes_n_nonzero,spikes_fraction_zero,spikes_total,spikes_mean,spikes_median,spikes_std,spikes_min,spikes_max
13,14,41,36,0.12195121951219512,9136.0,222.82926829268294,14.0,410.25662105802905,1.0,1665.0
13,15,41,32,0.21951219512195122,154.0,3.7560975609756095,2.0,10.229321795223958,1.0,66.0
13,16,41,38,0.07317073170731707,158.0,3.8536585365853657,2.0,7.538438086267461,1.0,46.0
14,1,41,40,0.024390243902439025,10454.0,254.97560975609755,39.0,467.1511793737054,1.0,2052.0
14,2,41,39,0.04878048780487805,39944.0,974.2439024390244,177.0,1266.711505838796,2.0,3913.0
14,3,41,40,0.024390243902439025,38639.0,942.4146341463414,752.0,903.9210135739118,1.0,2994.0
14,4,41,37,0.0975609756097561,2849.0,69.48780487804878,13.0,207.32271003814554,1.0,1306.0
14,5,41,40,0.024390243902439025,10709.0,261.1951219512195,20.0,479.86181445871455,1.0,2539.0
14,6,41,40,0.024390243902439025,10832.0,264.1951219512195,71.0,350.71713812645334,1.0,1169.0
14,7,41,41,0.0,35382.0,862.9756097560976,816.0,622.0842582723371,5.0,2191.0
14,8,41,41,0.0,52523.0,1281.0487804878048,801.0,1200.9128809205836,1.0,4482.0
14,9,41,41,0.0,7392.0,180.29268292682926,135.0,196.1191275605772,1.0,725.0
14,10,41,41,0.0,37944.0,925.4634146341464,7.0,1521.6923325291643,1.0,5535.0
14,11,41,40,0.024390243902439025,2195.0,53.53658536585366,5.0,174.27092378836116,1.0,925.0
14,12,41,37,0.0975609756097561,4308.0,105.07317073170732,3.0,569.369097784728,1.0,3650.0
14,13,41,39,0.04878048780487805,30275.0,738.4146341463414,4.0,1357.132730715934,1.0,4712.0
14,14,41,37,0.0975609756097561,856.0,20.878048780487806,2.0,67.19084577602489,1.0,347.0
14,15,41,38,0.07317073170731707,15644.0,381.5609756097561,21.0,806.9072762337842,1.0,3557.0
14,16,41,39,0.04878048780487805,1516.0,36.97560975609756,6.0,88.68243563549606,1.0,377.0
15,1,41,39,0.04878048780487805,740.0,18.048780487804876,3.0,56.918341165002424,1.0,333.0
15,2,41,37,0.0975609756097561,13885.0,338.6585365853659,6.0,701.9610249065149,1.0,3568.0
15,3,41,34,0.17073170731707318,705.0,17.195121951219512,2.0,52.98359156955818,1.0,319.0
