Dag,Well,Actieve electrodes ratio,Nummer actieve electrodes,Gem. Spikes per well,Bursts per well,Network bursts per well,Gem. Spike amplitude,SCA1
0327,28,0.125,,995.5,20,0,1.1191851089438952e-05,CG
0327,29,0.8125,,968.3846153846154,63.30769230769231,0,1.1287531245206915e-05,46
0327,30,0.375,,1331.6666666666667,77.33333333333333,0,1.0306127657898777e-05,46
0327,31,0.1875,,1933.3333333333333,0.3333333333333333,0,1.309864783650605e-05,CG
0327,32,0,,,,0,,CG
0327,33,0.125,,169,9.5,0,6.1588814508893e-06,54
0327,34,0.0625,,40,0,0,5.956180088022189e-06,54
0327,35,0.1875,,1284.3333333333333,34.333333333333336,0,1.2186233698514948e-05,CG
0327,36,0,,,,0,,CG
0327,37,0.125,,486,0,0,7.296120650947079e-06,46
0327,38,0.25,,1017,46.5,0,1.1325431299884568e-05,46
0327,39,0.1875,,181.33333333333334,0.3333333333333333,0,5.631005556584104e-06,CG
0327,40,0.125,,76,0,0,5.928115701882508e-06,CG
0327,41,0.0625,,686,15,0,7.778431141188268e-06,54
0327,42,0.125,,319,7,0,7.4204248104289105e-06,54
0327,43,0,,,,0,,CG
0327,44,0,,,,0,,CG
0327,45,0,,,,0,,46
0327,46,0.5,,1076,40.625,0,1.1215097996500268e-05,46
0327,47,0.125,,214.5,8.5,0,7.144661209897692e-06,CG
0327,48,0.1875,,922.6666666666666,31.333333333333332,0,6.658633348614015e-06,CG
