well,electrode,n_measurements,spikes_n_nonzero,spikes_fraction_zero,spikes_total,spikes_mean,spikes_median,spikes_std,spikes_min,spikes_max
2,12,6,4,0.3333333333333333,7.0,1.1666666666666667,1.5,0.9831920802501751,1.0,2.0
2,13,6,5,0.16666666666666666,11.0,1.8333333333333333,1.5,1.7224014243685086,1.0,5.0
2,14,6,6,0.0,17.0,2.8333333333333335,2.5,1.9407902170679516,1.0,6.0
2,15,6,6,0.0,8.0,1.3333333333333333,1.0,0.816496580927726,1.0,3.0
2,16,6,5,0.16666666666666666,11.0,1.8333333333333333,2.0,1.329160135825126,1.0,4.0
3,1,6,5,0.16666666666666666,11.0,1.8333333333333333,2.0,1.1690451944500122,1.0,3.0
3,2,6,4,0.3333333333333333,7.0,1.1666666666666667,1.0,1.1690451944500122,1.0,3.0
3,3,6,6,0.0,20.0,3.3333333333333335,2.0,3.502380143083652,1.0,10.0
3,4,6,5,0.16666666666666666,9.0,1.5,1.5,1.0488088481701516,1.0,3.0
3,5,6,4,0.3333333333333333,11.0,1.8333333333333333,2.5,1.4719601443879746,2.0,3.0
3,6,6,6,0.0,153.0,25.5,4.5,35.781280021821466,1.0,83.0
3,7,6,4,0.3333333333333333,11.0,1.8333333333333333,1.5,1.9407902170679516,1.0,5.0
3,8,6,4,0.3333333333333333,8.0,1.3333333333333333,1.0,1.5055453054181622,1.0,4.0
3,9,6,5,0.16666666666666666,19.0,3.1666666666666665,2.5,3.188521078284832,1.0,9.0
3,10,6,6,0.0,48.0,8.0,6.0,7.563068160475615,1.0,21.0
3,11,6,5,0.16666666666666666,58.0,9.666666666666666,3.5,16.585133905599516,1.0,43.0
3,12,6,3,0.5,5.0,0.8333333333333334,0.5,0.983192080250175,1.0,2.0
3,13,6,3,0.5,7.0,1.1666666666666667,0.5,1.4719601443879744,1.0,3.0
3,14,6,3,0.5,4.0,0.6666666666666666,0.5,0.816496580927726,1.0,2.0
3,15,6,5,0.16666666666666666,10.0,1.6666666666666667,2.0,1.0327955589886446,1.0,3.0
3,16,6,5,0.16666666666666666,10.0,1.6666666666666667,1.5,1.3662601021279464,1.0,4.0
4,1,6,5,0.16666666666666666,9.0,1.5,1.5,1.0488088481701516,1.0,3.0
4,2,6,5,0.16666666666666666,12.0,2.0,1.5,1.7888543819998317,1.0,5.0
4,3,6,6,0.0,13.0,2.1666666666666665,2.5,0.983192080250175,1.0,3.0
4,4,6,6,0.0,7.0,1.1666666666666667,1.0,0.408248290463863,1.0,2.0
4,5,6,6,0.0,10.0,1.6666666666666667,1.0,1.2110601416389966,1.0,4.0
4,6,6,6,0.0,15.0,2.5,2.0,1.224744871391589,1.0,4.0
4,7,6,4,0.3333333333333333,10.0,1.6666666666666667,1.5,1.632993161855452,1.0,4.0
4,8,6,3,0.5,4.0,0.6666666666666666,0.5,0.816496580927726,1.0,2.0
4,9,6,6,0.0,10.0,1.6666666666666667,1.5,0.816496580927726,1.0,3.0
4,10,6,4,0.3333333333333333,8.0,1.3333333333333333,1.5,1.2110601416389968,1.0,3.0
4,11,6,4,0.3333333333333333,5.0,0.8333333333333334,1.0,0.752772652709081,1.0,2.0
4,12,6,3,0.5,9.0,1.5,1.0,1.9748417658131499,2.0,5.0
4,13,6,5,0.16666666666666666,9.0,1.5,2.0,0.8366600265340756,1.0,2.0
4,14,6,5,0.16666666666666666,7.0,1.1666666666666667,1.0,0.752772652709081,1.0,2.0
4,15,6,4,0.3333333333333333,6.0,1.0,1.0,0.8944271909999159,1.0,2.0
4,16,6,5,0.16666666666666666,12.0,2.0,2.0,1.5491933384829668,1.0,4.0
5,1,6,4,0.3333333333333333,4.0,0.6666666666666666,1.0,0.5163977794943223,1.0,1.0
5,2,6,4,0.3333333333333333,5.0,0.8333333333333334,1.0,0.752772652709081,1.0,2.0
5,3,6,5,0.16666666666666666,6.0,1.0,1.0,0.6324555320336759,1.0,2.0
5,4,6,6,0.0,13.0,2.1666666666666665,2.0,1.4719601443879746,1.0,5.0
5,5,6,5,0.16666666666666666,11.0,1.8333333333333333,1.5,1.4719601443879746,1.0,4.0
5,6,6,6,0.0,15.0,2.5,2.0,1.224744871391589,1.0,4.0
5,7,6,5,0.16666666666666666,8.0,1.3333333333333333,1.0,1.0327955589886446,1.0,3.0
5,8,6,6,0.0,9.0,1.5,1.0,0.8366600265340756,1.0,3.0
5,9,6,3,0.5,6.0,1.0,0.5,1.2649110640673518,1.0,3.0
5,10,6,5,0.16666666666666666,11.0,1.8333333333333333,2.0,0.983192080250175,2.0,3.0
5,11,6,6,0.0,9.0,1.5,1.0,0.8366600265340756,1.0,3.0
5,12,6,3,0.5,11.0,1.8333333333333333,1.5,2.041241452319315,3.0,4.0
5,13,6,4,0.3333333333333333,6.0,1.0,1.0,1.0954451150103321,1.0,3.0
5,14,6,6,0.0,11.0,1.8333333333333333,1.5,0.9831920802501751,1.0,3.0
5,15,6,4,0.3333333333333333,6.0,1.0,1.0,1.0954451150103321,1.0,3.0
5,16,6,6,0.0,14.0,2.3333333333333335,2.0,1.505545305418162,1.0,4.0
6,1,6,3,0.5,5.0,0.8333333333333334,0.5,0.983192080250175,1.0,2.0
6,2,6,4,0.3333333333333333,7.0,1.1666666666666667,1.0,1.1690451944500122,1.0,3.0
6,3,6,5,0.16666666666666666,15.0,2.5,3.0,1.6431676725154984,1.0,4.0
6,4,6,5,0.16666666666666666,8.0,1.3333333333333333,1.5,0.816496580927726,1.0,2.0
6,5,6,5,0.16666666666666666,15.0,2.5,1.0,3.0166206257996713,1.0,8.0
6,6,6,5,0.16666666666666666,10.0,1.6666666666666667,1.5,1.2110601416389966,1.0,3.0
6,7,6,6,0.0,10.0,1.6666666666666667,1.5,0.816496580927726,1.0,3.0
