well,electrode,total_measurements,inactive_count,fraction_inactive,inactive_measurements,always_inactive
30,1,41,6,0.14634146341463414,"1,2,24,34,35,39",0
30,2,41,4,0.0975609756097561,"1,2,17,22",0
30,3,41,2,0.04878048780487805,"1,2",0
30,4,41,2,0.04878048780487805,"1,8",0
30,5,41,4,0.0975609756097561,"1,2,38,41",0
30,6,41,5,0.12195121951219512,"2,7,9,15,23",0
30,7,41,1,0.024390243902439025,7,0
30,8,41,4,0.0975609756097561,"1,2,7,16",0
30,9,41,3,0.07317073170731707,"1,2,7",0
30,10,41,3,0.07317073170731707,"1,2,7",0
30,11,41,3,0.07317073170731707,"1,2,20",0
30,12,41,4,0.0975609756097561,"1,2,3,13",0
30,13,41,1,0.024390243902439025,1,0
30,14,41,5,0.12195121951219512,"1,2,4,7,18",0
