well,electrode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
8,15,1,0,1,3,0,0,2,2,2,5,1,2,2,381,1,204,5,1,1,3,1,1,3,1,2,2,3,3,2,4,4,1,4,1,0,3,1,1,0,3,3
8,16,1,0,0,0,3,3,2,1,3,5,2,0,1,2,1,2,0,1,3,2,2,1,5,3,1,4,3,0,6,4,0,4,1,0,1,3,3,3,1,1,3
9,1,0,0,3,1,1,3,4,3,4,2,1,4,3,2,156,322,1171,297,1706,2776,799,2649,2529,462,288,127,39,8,2,5,1,3,3,0,5,2,3,1,2,3,0
9,2,1,0,5,0,3,5,4,4,2,2,3,1,1,0,0,1,0,4,6,1,2,4,7,3,1,2,14,394,24,21,24,16,0,4,3,4,0,4,4,3,1
9,3,1,0,2,4,3,95,220,2,2,3,3,3,3,47,555,656,345,428,520,24,19,86,11,3,3,1,2,1,4,2,1,2,2,1,1,2,1,0,3,2,1
9,4,0,0,1,4,5,4,1,2,1,2,2,2,1,4,3,4,1,3,1,1,4,1,0,2,1,2,3,1,1,3,3,1,3,3,3,4,0,1,4,2,4
9,5,0,0,4,2,4,1,4,2,1,1,2,2,1,4,1,4,4,1,1,4,2,2,0,2,1,2,3,2,2,4,2,1,4,3,3,1,0,3,1,2,1
9,6,0,1,1,3,2,3,2,4,1,2,1,0,2,3,4,2,6,1,2,2,2,1,0,2,1,2,0,2,0,1,0,2,2,2,3,5,2,1,6,3,1
9,7,0,0,4,2,1,2,60,7,2,1,1,3,1,2,3,1,3,5,1,3,4,2,2,1,5,2,3,6,0,5,1,1,2,3,1,4,3,3,1,1,0
9,8,0,1,2,3,2,2,2,2,1,0,3,4,2,2,5,4,2,1,3,2,5,2,4,2,1,5,2,1,1,1,1,1,1,5,7,0,1,3,1,2,7
9,9,1,0,3,2,1,2,3,1,2,4,3,2,4,3,1,1,5,2,3,6,1,3,3,4,4,1,2,3,2,0,1,3,0,1,0,1,4,1,1,0,4
9,10,1,0,7,2,0,1,2,1,1,5,0,0,2,1,1,0,3,2,1,3,0,2,1,3,3,2,1,0,4,4,3,3,2,1,0,0,1,23,3,3,1
9,11,1,1,4,3,1,2,0,3,3,2,3,6,4,4,5,0,2,1,1,2,3,3,5,3,2,0,0,2,1,147,2,2,2,3,2,1,2,0,5,0,3
9,12,0,1,2,1,0,4,3,2,17,4,3,3,1,5,3,1,0,1,0,3,1,2,5,4,0,2,2,3,1,0,3,3,3,3,2,2,0,2,2,2,2
9,13,0,0,2,0,2,2,1,0,3,2,0,4,2,2,2,5,2,3,5,2,2,4,4,2,2,2,2,3,2,0,1,2,1,2,1,2,3,2,3,3,3
9,14,1,0,4,2,1,3,4,3,3,1,4,2,3,2,1,2,265,291,125,73,32,11,5,3,2,5,6,22,4,2,3,4,4,1,3,5,6,2,5,3,0
9,15,1,0,4,3,1,2,2,1,3,0,3,0,1,3,1,4,3,3,18,3,1,2,4,1,2,2,1,1,5,2,2,3,4,1,3,3,4,5,4,2,1
9,16,0,0,4,1,1,2,4,3,0,3,1,0,6,3,3,2,6,3,3,3,2,3,27,2,2,2,4,1,2,2,3,2,2,2,7,4,5,3,1,2,2
10,1,0,0,1,2,2,3,3,2,1,1,3,2,2,2,1,2,1,0,0,2,4,3,5,3,1,3,2,3,1,2,4,2,1,1,1,3,286,4,2,2,2
10,2,0,0,0,3,1,4,4,1,0,5,1,2,1,3,5,1,2,3,5,2,4,2,2,1,3,5,2,1,27,4,2277,2799,469,938,1484,1519,1456,929,593,502,857
